"HolderAddress","Balance","PendingBalanceUpdate"
"0x00490ec0de016ec21286243ff0dd37832e8ef8a6","0.041359454","No"
"0x0060b173604908e5e2ac1e1c3bfd60bd58ef9626","0.044527649","No"
"0x01155f03b612bc40e6db8696ae47d54b91d96652","0.123341427","No"
"0x0127f1855a0c5116c4720ef728000d7f003ca015","4.570031806","No"
"0x018e608cbeecb4d5d129ebb9a2b9775a9d386b7e","0.737652694480722","No"
"0x01af3c594da33d8412ee666aa9274ff02470d9e3","0.351856559","No"
"0x01bacc9cdc5c6116549a5ed32d11ef631e4f3cd9","6.026415249","No"
"0x01d535b00d58b461470233a8bda48110c1578ae1","0.21349667","No"
"0x01fbc82266b44db08bb99bb0369277f2cfe18843","2","No"
"0x022ce1ba7437b0d6fa0fe798be9e0c6e1d3ea35d","0.115204655","No"
"0x0241afde789d809ea35131733c2e08760bde118d","0.197160126","No"
"0x025030560d35493160ef3a2c96c4786eb6481ad9","0.282455673","No"
"0x0277b1bfc2278f271001cd5e1c04458e6e1672da","0.095995937","No"
"0x02865f6835a33c9b58051d8562ae08fa147b58b2","2.190482974","No"
"0x02b2b1e1b67bd42c837c817dedbdd7e48c9f0821","0.169677173","No"
"0x0306f8948e6a01306298cc95b4aa86a4b225821a","0.016074776","No"
"0x031207bf251f74ae7652d962b8cfc5fcd3ea4e3e","0.179260194","No"
"0x032a86206c0b6e43b640ff0d408691368bc4c582","2.919459869","No"
"0x03525a3c7d8832f724d14d9f94e02f5e1c1be33c","0.141989037","No"
"0x03f2709df0f6e76abe3bd02c8b9b8de0dc381e5e","5.538507871","No"
"0x04362c4c327d6277cdf48d2e3e9c2914ab54db38","0.475130163","No"
"0x047f7ef13e273338141894225029769db9462443","0.047658648","No"
"0x052a2aea8c608d0617644a009821467e62ab7906","0.040414301","No"
"0x055781303a0874048ad607ac3dab991cb65453ae","0.528867406","No"
"0x058dd6e68052c1fd83f3e8186db56be8098f5dd6","0.33900465","No"
"0x05a7a6234699399f0151d151d541e2c78b539683","0.562936912","No"
"0x05ffa4033118bfe6e9f3b9b773045e385d17e599","0.232726401","No"
"0x0655b038ef4f3f6b8636e6aa454f83ca179ae5a6","0.4465857","No"
"0x065de23b4bf1bd85bed6a01ac61c3dc0ed62aafb","0.602770247","No"
"0x066a10ea39cb1fd72a7973439fcef719ac671f02","0.350263589","No"
"0x069eb374a16106e0d1c4a6215caa508b7ee0b3df","0.685971913","No"
"0x07618d73d71a9ad32e6cccac5acf70251e216c14","0.785217676","No"
"0x08adbc9aff593f92bf103bf5f447ddb5542bd62a","1.854902051","No"
"0x09255234cf347c72858150f1a629282ffb437545","4.141918646","No"
"0x093f68d439f8fb6c0ec623bc26e5c5d64ee5d799","5.334474195","No"
"0x097f9129cc3c41b03828c98893d11c5b1b37ffc5","0.012248184","No"
"0x09835fa549df512e878f0479a397507cc2d86f15","0.207326524","No"
"0x09db4d592aa6a411319dba2d045dfe07fb26e787","0.578110599","No"
"0x0a17e94aece3fee81b761f591837b1ecbae30126","0.070966003","No"
"0x0ae36efb384d090270f556d25adba7a8e0003f90","0.435379722","No"
"0x0ae61cceb207b5523826999214726f09b54bd38c","0.468231309","No"
"0x0aea418010e9626a9fe5da91bbaf151ace3ce565","0.296652673","No"
"0x0aeea9b7189a8ac14be74302fa884975d017e041","0.13451302","No"
"0x0b2ad34d918320069fe962582cfa9d5e42fd5c78","0.046173868","No"
"0x0b37508b3cffeaf81476c4406ce3a6b73862c3e0","0.277342865","No"
"0x0bf67cd5da0b8bbfea79aa49f99b026b3755f309","0.065755101","No"
"0x0c3351e968dfafbbd68f452cbe690cfb68d7b61f","0.150512586510824","No"
